country	continent	intercept	slope	sd
Cambodia	Asia	37.0154230769231	0.395902797202797	28.8168293156389
China	Asia	47.1904815384616	0.530714853146853	13.5239773177907
Hong Kong, China	Asia	63.428641025641	0.365970629370629	1.24001187115914
India	Asia	39.2697564102564	0.505320979020979	2.70477914484
Indonesia	Asia	36.8831153846154	0.634641258741258	0.378847287666881
Iran	Asia	44.9789871794872	0.49663986013986	0.401579021508795
Iraq	Asia	50.1134615384616	0.235210489510489	14.9636659869675
Israel	Asia	66.3004102564103	0.267106293706294	0.12160529773257
Japan	Asia	65.1220512820513	0.352904195804195	1.70426473670267
Jordan	Asia	44.063858974359	0.57172937062937	3.31381918934095
Korea, Dem. Rep.	Asia	54.9056025641026	0.316426573426573	13.7435587401991
Korea, Rep.	Asia	49.7275	0.5554	1.25349627272726
Kuwait	Asia	57.4593333333333	0.416836363636363	2.82514272176308
Lebanon	Asia	58.687358974359	0.26102937062937	1.37029423479547
Malaysia	Asia	51.505217948718	0.464522377622377	3.96346467058695
Mongolia	Asia	43.8264102564103	0.438688111888112	0.803703810129259
Myanmar	Asia	41.4115512820513	0.433095104895104	8.36185975736377
Nepal	Asia	34.431641025641	0.529261538461538	0.776597011655019
Oman	Asia	37.2077435897436	0.772179020979021	5.01071546302182
Pakistan	Asia	43.7229615384616	0.405792307692307	0.147596003496502
Philippines	Asia	49.4043461538462	0.42046923076923	0.497105737762211
Saudi Arabia	Asia	40.8141153846154	0.649623076923077	3.93866839510489
Singapore	Asia	61.8458846153846	0.340886013986014	0.460727981881751
Sri Lanka	Asia	59.7914871794872	0.244894405594405	1.07533336861621
Syria	Asia	46.1012820512821	0.55435944055944	1.60698925323162
Taiwan	Asia	61.3374358974359	0.327244755244755	1.56111159143882
Thailand	Asia	52.6564230769231	0.347048251748252	1.31974308423395
Vietnam	Asia	39.0100769230769	0.671615384615384	1.56879455944057
West Bank and Gaza	Asia	43.7983974358975	0.601100699300699	3.57186031044713
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944	2.28614129868618
